ScalableEmitterDocument 8980c3fc4607d54b8fd11ce875d6b5fe
        y 1.0
        z 1.0
    PeriodSpace 1.0
    TurbulenceForceAsInstantVelocity 0.0
    Octaves 1
    OctavePersistence 0.5
    PerParticleRandomness 0.0
TurbulanceData 00000031
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000084
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Intensity 0.5
    NoiseType TurbulenceNoiseType_PerlinSimplex
    Multiplier::Vec3
        x 1.0
        y 1.0
        z 1.0
    PeriodSpace 1.0
    TurbulenceForceAsInstantVelocity 0.0
    Octaves 1
    OctavePersistence 0.5
    PerParticleRandomness 0.0
TurbulanceData 00000032
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000085
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Intensity 0.5
    NoiseType TurbulenceNoiseType_PerlinSimplex
    Multiplier::Vec3
        x 1.0
        y 1.0
        z 1.0
    PeriodSpace 1.0
    TurbulenceForceAsInstantVelocity 0.0
    Octaves 1
    OctavePersistence 0.5
    PerParticleRandomness 0.0
TurbulanceData 00000033
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000086
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Intensity 0.5
    NoiseType TurbulenceNoiseType_PerlinSimplex
    Multiplier::Vec3
        x 1.0
        y 1.0
        z 1.0
    PeriodSpace 1.0
    TurbulenceForceAsInstantVelocity 0.0
    Octaves 1
    OctavePersistence 0.5
    PerParticleRandomness 0.0
UpdateColorData 00000034
    $::ProcessorData
        $::DataContainer
        Pre 00000008
        NextProcessor 0000008d
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Color::Vec3
        x 1.0
        y 1.0
        z 1.0
UpdateColorData 00000035
    $::ProcessorData
        $::DataContainer
        Pre 00000006
        NextProcessor 0000008e
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Color::Vec3
        x 1.0
        y 1.0
        z 1.0
UpdateColorData 00000036
    $::ProcessorData
        $::DataContainer
        Pre 00000009
        NextProcessor 0000008c
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Color::Vec3
        x 1.0
        y 1.0
        z 1.0
UpdateColorData 00000037
    $::ProcessorData
        $::DataContainer
        Pre 00000007
        NextProcessor 0000008f
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Color::Vec3
        x 1.0
        y 1.0
        z 1.0
AirResistanceData 00000038
    $::ProcessorData
        $::DataContainer
        Pre 0000002a
        NextProcessor 0000003d
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    DragFactor 12.0
AirResistanceData 00000039
    $::ProcessorData
        $::DataContainer
        Pre 0000000f
        NextProcessor 0000003f
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    DragFactor 12.0
AirResistanceData 0000003a
    $::ProcessorData
        $::DataContainer
        Pre 0000000c
        NextProcessor 0000003e
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    DragFactor 12.0
AirResistanceData 0000003b
    $::ProcessorData
        $::DataContainer
        Pre 00000026
        NextProcessor 0000003c
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    DragFactor 12.0
GravityData 0000003c
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 000000a8
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Gravity -9.81999969482
    PerParticleRandomness 0.850000023842
GravityData 0000003d
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 000000a9
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Gravity -9.81999969482
    PerParticleRandomness 0.850000023842
GravityData 0000003e
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 000000aa
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Gravity -9.81999969482
    PerParticleRandomness 0.850000023842
GravityData 0000003f
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 000000ab
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Gravity -9.81999969482
    PerParticleRandomness 0.850000023842
RandomEvaluatorData 00000040
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min 0.10000000149
    Mirror False
RandomEvaluatorData 00000041
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 48.0
    Min 0.0
    Mirror False
RandomEvaluatorData 00000042
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min -1.0
    Mirror False
RandomEvaluatorData 00000043
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min 0.5
    Mirror False
RandomEvaluatorData 00000044
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 48.0
    Min 0.0
    Mirror False
RandomEvaluatorData 00000045
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 48.0
    Min 0.0
    Mirror False
RandomEvaluatorData 00000046
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min -1.0
    Mirror False
RandomEvaluatorData 00000047
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min 0.5
    Mirror False
RandomEvaluatorData 00000048
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min -1.0
    Mirror False
RandomEvaluatorData 00000049
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min 0.5
    Mirror False
RandomEvaluatorData 0000004a
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min -1.0
    Mirror False
RandomEvaluatorData 0000004b
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min 0.10000000149
    Mirror False
RandomEvaluatorData 0000004c
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min 0.10000000149
    Mirror False
RandomEvaluatorData 0000004d
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 48.0
    Min 0.0
    Mirror False
RandomEvaluatorData 0000004e
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min -1.0
    Mirror False
RandomEvaluatorData 0000004f
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min -1.0
    Mirror False
RandomEvaluatorData 00000050
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min -1.0
    Mirror False
RandomEvaluatorData 00000051
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min 0.5
    Mirror False
RandomEvaluatorData 00000052
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min -1.0
    Mirror False
RandomEvaluatorData 00000053
    $::EvaluatorData
        $::DataContainer
        Parameter *nullGuid*
    RandomFrequency RandomPerFrame
    Max 1.0
    Min 0.10000000149
    Mirror False
SpawnAnimationData 00000054
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 000000a1
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    AnimationSpeed 30.0
    BasedOnLifetime False
SpawnAnimationData 00000055
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 000000a2
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    AnimationSpeed 30.0
    BasedOnLifetime False
SpawnAnimationData 00000056
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 000000a0
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    AnimationSpeed 30.0
    BasedOnLifetime False
SpawnAnimationData 00000057
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 000000a3
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    AnimationSpeed 30.0
    BasedOnLifetime False
SpawnAnimationFrameData 00000058
    $::ProcessorData
        $::DataContainer
        Pre 0000004d
        NextProcessor 00000055
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    AnimationFrame 1
SpawnAnimationFrameData 00000059
    $::ProcessorData
        $::DataContainer
        Pre 00000045
        NextProcessor 00000057
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    AnimationFrame 1
SpawnAnimationFrameData 0000005a
    $::ProcessorData
        $::DataContainer
        Pre 00000044
        NextProcessor 00000056
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    AnimationFrame 1
SpawnAnimationFrameData 0000005b
    $::ProcessorData
        $::DataContainer
        Pre 00000041
        NextProcessor 00000054
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    AnimationFrame 1
SpawnDirectionData 0000005c
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000061
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    DirectionFromEmitterOrigin 1.0
    InheritSpeedAmount 1.0
    InheritSpeedSmoothingFactor 0.0
    InheritSpeedRandomness 0.0
    InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData 0000005d
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000062
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    DirectionFromEmitterOrigin 1.0
    InheritSpeedAmount 1.0
    InheritSpeedSmoothingFactor 0.0
    InheritSpeedRandomness 0.0
    InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData 0000005e
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000063
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    DirectionFromEmitterOrigin 1.0
    InheritSpeedAmount 1.0
    InheritSpeedSmoothingFactor 0.0
    InheritSpeedRandomness 0.0
    InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData 0000005f
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000060
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    DirectionFromEmitterOrigin 1.0
    InheritSpeedAmount 1.0
    InheritSpeedSmoothingFactor 0.0
    InheritSpeedRandomness 0.0
    InheritSpeedAndDirectionFromEmitter False
SpawnPositionData 00000060
    $::ProcessorData
        $::DataContainer
        Pre 0000002f
        NextProcessor 00000076
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    ApplyScreenAspectRatio False
SpawnPositionData 00000061
    $::ProcessorData
        $::DataContainer
        Pre 0000002e
        NextProcessor 00000077
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    ApplyScreenAspectRatio False
SpawnPositionData 00000062
    $::ProcessorData
        $::DataContainer
        Pre 0000002c
        NextProcessor 00000074
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    ApplyScreenAspectRatio False
SpawnPositionData 00000063
    $::ProcessorData
        $::DataContainer
        Pre 0000002d
        NextProcessor 00000075
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    ApplyScreenAspectRatio False
SpawnRateData 00000064
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000039
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    SpawnRate 1000.0
    DistributeOverTime True
    DistributeOverDistance False
SpawnRateData 00000065
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 0000003a
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    SpawnRate 1000.0
    DistributeOverTime True
    DistributeOverDistance False
SpawnRateData 00000066
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000038
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    SpawnRate 1000.0
    DistributeOverTime True
    DistributeOverDistance False
SpawnRateData 00000067
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 0000003b
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    SpawnRate 1000.0
    DistributeOverTime True
    DistributeOverDistance False
SpawnRotationData 00000068
    $::ProcessorData
        $::DataContainer
        Pre 00000048
        NextProcessor 0000006c
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Rotation 1.0
SpawnRotationData 00000069
    $::ProcessorData
        $::DataContainer
        Pre 0000004f
        NextProcessor 0000006d
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Rotation 1.0
SpawnRotationData 0000006a
    $::ProcessorData
        $::DataContainer
        Pre 0000004a
        NextProcessor 0000006e
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Rotation 1.0
SpawnRotationData 0000006b
    $::ProcessorData
        $::DataContainer
        Pre 00000052
        NextProcessor 0000006f
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Rotation 1.0
SpawnRotationSpeedData 0000006c
    $::ProcessorData
        $::DataContainer
        Pre 0000004e
        NextProcessor 0000009c
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    RotationSpeed 1.0
SpawnRotationSpeedData 0000006d
    $::ProcessorData
        $::DataContainer
        Pre 00000042
        NextProcessor 0000009f
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    RotationSpeed 1.0
SpawnRotationSpeedData 0000006e
    $::ProcessorData
        $::DataContainer
        Pre 00000046
        NextProcessor 0000009e
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    RotationSpeed 1.0
SpawnRotationSpeedData 0000006f
    $::ProcessorData
        $::DataContainer
        Pre 00000050
        NextProcessor 0000009d
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    RotationSpeed 1.0
SpawnSizeData 00000070
    $::ProcessorData
        $::DataContainer
        Pre 00000047
        NextProcessor 0000005f
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Size 0.0500000007451
SpawnSizeData 00000071
    $::ProcessorData
        $::DataContainer
        Pre 00000043
        NextProcessor 0000005e
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Size 0.0500000007451
SpawnSizeData 00000072
    $::ProcessorData
        $::DataContainer
        Pre 00000051
        NextProcessor 0000005d
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Size 0.0500000007451
SpawnSizeData 00000073
    $::ProcessorData
        $::DataContainer
        Pre 00000049
        NextProcessor 0000005c
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Size 0.0500000007451
SpawnSpeedData 00000074
    $::ProcessorData
        $::DataContainer
        Pre 00000053
        NextProcessor 00000032
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Speed 15.0
SpawnSpeedData 00000075
    $::ProcessorData
        $::DataContainer
        Pre 00000040
        NextProcessor 00000030
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Speed 15.0
SpawnSpeedData 00000076
    $::ProcessorData
        $::DataContainer
        Pre 0000004b
        NextProcessor 00000033
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Speed 15.0
SpawnSpeedData 00000077
    $::ProcessorData
        $::DataContainer
        Pre 0000004c
        NextProcessor 00000031
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Speed 15.0
UpdateAgeData 00000078
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000064
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Lifetime 4.0
    RandomLifetimeScale 0.300000011921
    MaxFactor 1.0
UpdateAgeData 00000079
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000066
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Lifetime 4.0
    RandomLifetimeScale 0.300000011921
    MaxFactor 1.0
UpdateAgeData 0000007a
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000065
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Lifetime 4.0
    RandomLifetimeScale 0.300000011921
    MaxFactor 1.0
UpdateAgeData 0000007b
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000067
        EvaluatorInput EfOne
        EvaluatorInputParam *nullGuid*
    Lifetime 4.0
    RandomLifetimeScale 0.300000011921
    MaxFactor 1.0
UpdateAlphaLevelMaxData 0000007c
    $::ProcessorData
        $::DataContainer
        Pre 00000021
        NextProcessor 00000081
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    MaxLevel 0.300000011921
UpdateAlphaLevelMaxData 0000007d
    $::ProcessorData
        $::DataContainer
        Pre 00000016
        NextProcessor 00000082
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    MaxLevel 0.300000011921
UpdateAlphaLevelMaxData 0000007e
    $::ProcessorData
        $::DataContainer
        Pre 0000000e
        NextProcessor 00000080
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    MaxLevel 0.300000011921
UpdateAlphaLevelMaxData 0000007f
    $::ProcessorData
        $::DataContainer
        Pre 00000019
        NextProcessor 00000083
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    MaxLevel 0.300000011921
UpdateAlphaLevelMinData 00000080
    $::ProcessorData
        $::DataContainer
        Pre 0000001f
        NextProcessor 0000005a
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    MinLevel 1.0
UpdateAlphaLevelMinData 00000081
    $::ProcessorData
        $::DataContainer
        Pre 00000027
        NextProcessor 00000058
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    MinLevel 1.0
UpdateAlphaLevelMinData 00000082
    $::ProcessorData
        $::DataContainer
        Pre 00000028
        NextProcessor 00000059
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    MinLevel 1.0
UpdateAlphaLevelMinData 00000083
    $::ProcessorData
        $::DataContainer
        Pre 00000015
        NextProcessor 0000005b
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    MinLevel 1.0
UpdateAlphaLevelScaleData 00000084
    $::ProcessorData
        $::DataContainer
        Pre 0000001a
        NextProcessor 00000037
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Exponent 1.0
UpdateAlphaLevelScaleData 00000085
    $::ProcessorData
        $::DataContainer
        Pre 00000029
        NextProcessor 00000036
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Exponent 1.0
UpdateAlphaLevelScaleData 00000086
    $::ProcessorData
        $::DataContainer
        Pre 0000001d
        NextProcessor 00000035
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Exponent 1.0
UpdateAlphaLevelScaleData 00000087
    $::ProcessorData
        $::DataContainer
        Pre 00000023
        NextProcessor 00000034
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Exponent 1.0
UpdateClipScaleData 00000088
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000091
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Lookup::array
        member(0) 27193
        member(1) 31806
        member(2) 32511
        member(3) 30975
        member(4) 27193
        member(5) 31806
        member(6) 32511
        member(7) 30975
        member(8) 27193
        member(9) 31806
        member(10) 32511
        member(11) 30975
        member(12) 27193
        member(13) 31806
        member(14) 32511
        member(15) 30975
        member(16) 27193
        member(17) 31806
        member(18) 32511
        member(19) 30975
        member(20) 27193
        member(21) 31806
        member(22) 32511
        member(23) 30975
        member(24) 27193
        member(25) 31806
        member(26) 32511
        member(27) 30975
        member(28) 27193
        member(29) 31806
        member(30) 32511
        member(31) 30975
        member(32) 27193
        member(33) 31806
        member(34) 32511
        member(35) 30975
        member(36) 27193
        member(37) 31806
        member(38) 32511
        member(39) 30975
        member(40) 27193
        member(41) 31806
        member(42) 32511
        member(43) 30975
        member(44) 27193
        member(45) 31806
        member(46) 32511
        member(47) 30975
        member(48) 27193
        member(49) 31806
        member(50) 32511
        member(51) 30975
        member(52) 27193
        member(53) 31806
        member(54) 32511
        member(55) 30975
        member(56) 27193
        member(57) 31806
        member(58) 32511
        member(59) 30975
        member(60) 27193
        member(61) 31806
        member(62) 32511
        member(63) 30975
        member(64) 27193
        member(65) 31806
        member(66) 32511
        member(67) 30975
        member(68) 27193
        member(69) 31806
        member(70) 32511
        member(71) 30975
        member(72) 27193
        member(73) 31806
        member(74) 32511
        member(75) 30975
        member(76) 27193
        member(77) 31806
        member(78) 32511
        member(79) 30975
        member(80) 27193
        member(81) 31806
        member(82) 32511
        member(83) 30975
        member(84) 27193
        member(85) 31806
        member(86) 32511
        member(87) 30975
        member(88) 27193
        member(89) 31806
        member(90) 32511
        member(91) 30975
        member(92) 27193
        member(93) 31806
        member(94) 32511
        member(95) 30975
        member(96) 27193
        member(97) 31806
        member(98) 32511
        member(99) 30975
        member(100) 27193
        member(101) 31806
        member(102) 32511
        member(103) 30975
        member(104) 27193
        member(105) 31806
        member(106) 32511
        member(107) 30975
        member(108) 25464
        member(109) 22773
        member(110) 28031
        member(111) 28799
        member(112) 96
        member(113) 96
        member(114) 0
        member(115) 0
        member(116) 96
        member(117) 96
        member(118) 0
        member(119) 0
        member(120) 96
        member(121) 96
        member(122) 0
        member(123) 0
        member(124) 96
        member(125) 96
        member(126) 0
        member(127) 0
        member(128) 96
        member(129) 96
        member(130) 0
        member(131) 0
UpdateClipScaleData 00000089
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000093
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Lookup::array
        member(0) 27193
        member(1) 31806
        member(2) 32511
        member(3) 30975
        member(4) 27193
        member(5) 31806
        member(6) 32511
        member(7) 30975
        member(8) 27193
        member(9) 31806
        member(10) 32511
        member(11) 30975
        member(12) 27193
        member(13) 31806
        member(14) 32511
        member(15) 30975
        member(16) 27193
        member(17) 31806
        member(18) 32511
        member(19) 30975
        member(20) 27193
        member(21) 31806
        member(22) 32511
        member(23) 30975
        member(24) 27193
        member(25) 31806
        member(26) 32511
        member(27) 30975
        member(28) 27193
        member(29) 31806
        member(30) 32511
        member(31) 30975
        member(32) 27193
        member(33) 31806
        member(34) 32511
        member(35) 30975
        member(36) 27193
        member(37) 31806
        member(38) 32511
        member(39) 30975
        member(40) 27193
        member(41) 31806
        member(42) 32511
        member(43) 30975
        member(44) 27193
        member(45) 31806
        member(46) 32511
        member(47) 30975
        member(48) 27193
        member(49) 31806
        member(50) 32511
        member(51) 30975
        member(52) 27193
        member(53) 31806
        member(54) 32511
        member(55) 30975
        member(56) 27193
        member(57) 31806
        member(58) 32511
        member(59) 30975
        member(60) 27193
        member(61) 31806
        member(62) 32511
        member(63) 30975
        member(64) 27193
        member(65) 31806
        member(66) 32511
        member(67) 30975
        member(68) 27193
        member(69) 31806
        member(70) 32511
        member(71) 30975
        member(72) 27193
        member(73) 31806
        member(74) 32511
        member(75) 30975
        member(76) 27193
        member(77) 31806
        member(78) 32511
        member(79) 30975
        member(80) 27193
        member(81) 31806
        member(82) 32511
        member(83) 30975
        member(84) 27193
        member(85) 31806
        member(86) 32511
        member(87) 30975
        member(88) 27193
        member(89) 31806
        member(90) 32511
        member(91) 30975
        member(92) 27193
        member(93) 31806
        member(94) 32511
        member(95) 30975
        member(96) 27193
        member(97) 31806
        member(98) 32511
        member(99) 30975
        member(100) 27193
        member(101) 31806
        member(102) 32511
        member(103) 30975
        member(104) 27193
        member(105) 31806
        member(106) 32511
        member(107) 30975
        member(108) 25464
        member(109) 22773
        member(110) 28031
        member(111) 28799
        member(112) 96
        member(113) 96
        member(114) 0
        member(115) 0
        member(116) 96
        member(117) 96
        member(118) 0
        member(119) 0
        member(120) 96
        member(121) 96
        member(122) 0
        member(123) 0
        member(124) 96
        member(125) 96
        member(126) 0
        member(127) 0
        member(128) 96
        member(129) 96
        member(130) 0
        member(131) 0
UpdateClipScaleData 0000008a
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000090
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Lookup::array
        member(0) 27193
        member(1) 31806
        member(2) 32511
        member(3) 30975
        member(4) 27193
        member(5) 31806
        member(6) 32511
        member(7) 30975
        member(8) 27193
        member(9) 31806
        member(10) 32511
        member(11) 30975
        member(12) 27193
        member(13) 31806
        member(14) 32511
        member(15) 30975
        member(16) 27193
        member(17) 31806
        member(18) 32511
        member(19) 30975
        member(20) 27193
        member(21) 31806
        member(22) 32511
        member(23) 30975
        member(24) 27193
        member(25) 31806
        member(26) 32511
        member(27) 30975
        member(28) 27193
        member(29) 31806
        member(30) 32511
        member(31) 30975
        member(32) 27193
        member(33) 31806
        member(34) 32511
        member(35) 30975
        member(36) 27193
        member(37) 31806
        member(38) 32511
        member(39) 30975
        member(40) 27193
        member(41) 31806
        member(42) 32511
        member(43) 30975
        member(44) 27193
        member(45) 31806
        member(46) 32511
        member(47) 30975
        member(48) 27193
        member(49) 31806
        member(50) 32511
        member(51) 30975
        member(52) 27193
        member(53) 31806
        member(54) 32511
        member(55) 30975
        member(56) 27193
        member(57) 31806
        member(58) 32511
        member(59) 30975
        member(60) 27193
        member(61) 31806
        member(62) 32511
        member(63) 30975
        member(64) 27193
        member(65) 31806
        member(66) 32511
        member(67) 30975
        member(68) 27193
        member(69) 31806
        member(70) 32511
        member(71) 30975
        member(72) 27193
        member(73) 31806
        member(74) 32511
        member(75) 30975
        member(76) 27193
        member(77) 31806
        member(78) 32511
        member(79) 30975
        member(80) 27193
        member(81) 31806
        member(82) 32511
        member(83) 30975
        member(84) 27193
        member(85) 31806
        member(86) 32511
        member(87) 30975
        member(88) 27193
        member(89) 31806
        member(90) 32511
        member(91) 30975
        member(92) 27193
        member(93) 31806
        member(94) 32511
        member(95) 30975
        member(96) 27193
        member(97) 31806
        member(98) 32511
        member(99) 30975
        member(100) 27193
        member(101) 31806
        member(102) 32511
        member(103) 30975
        member(104) 27193
        member(105) 31806
        member(106) 32511
        member(107) 30975
        member(108) 25464
        member(109) 22773
        member(110) 28031
        member(111) 28799
        member(112) 96
        member(113) 96
        member(114) 0
        member(115) 0
        member(116) 96
        member(117) 96
        member(118) 0
        member(119) 0
        member(120) 96
        member(121) 96
        member(122) 0
        member(123) 0
        member(124) 96
        member(125) 96
        member(126) 0
        member(127) 0
        member(128) 96
        member(129) 96
        member(130) 0
        member(131) 0
UpdateClipScaleData 0000008b
    $::ProcessorData
        $::DataContainer
        Pre *nullGuid*
        NextProcessor 00000092
        EvaluatorInput EfNormTime
        EvaluatorInputParam *nullGuid*
    Lookup::array
        member(0) 27193
        member(1) 31806
        member(2) 32511
        member(3) 30975
        member(4) 27193
        member(5) 31806
        member(6) 32511
        member(7) 30975
        member(8) 27193
        member(9) 31806
        member(10) 32511
        member(11) 30975
        member(12) 27193
        member(13) 31806
        member(14) 32511
        member(15) 30975
        member(16) 27193
        member(17) 31806
        member(18) 32511
        member(19) 30975
        member(20) 27193
